     0: >>> E[0:00:00]-R[?]: Return=   -0.0076, Steps= 8.6, Features = 16
    94: E[0:00:01]-R[0:00:15]: Return=     0.993, Steps=   8, Features = 16
   220: E[0:00:02]-R[0:00:14]: Return=     0.993, Steps=   8, Features = 16
   348: E[0:00:03]-R[0:00:13]: Return=     0.997, Steps=   4, Features = 16
   480: E[0:00:04]-R[0:00:12]: Return=     0.989, Steps=  12, Features = 16
   608: E[0:00:05]-R[0:00:11]: Return=     0.995, Steps=   6, Features = 16
   734: E[0:00:06]-R[0:00:10]: Return=     0.995, Steps=   6, Features = 16
   858: E[0:00:07]-R[0:00:09]: Return=    -1.003, Steps=   4, Features = 16
   996: E[0:00:08]-R[0:00:08]: Return=     0.989, Steps=  12, Features = 16
  1124: E[0:00:09]-R[0:00:07]: Return=     0.989, Steps=  12, Features = 16
  1244: E[0:00:10]-R[0:00:06]: Return=     0.997, Steps=   4, Features = 16
  1368: E[0:00:11]-R[0:00:05]: Return=     0.995, Steps=   6, Features = 16
  1494: E[0:00:12]-R[0:00:04]: Return=     0.997, Steps=   4, Features = 16
  1620: E[0:00:13]-R[0:00:03]: Return=     0.997, Steps=   4, Features = 16
  1750: E[0:00:14]-R[0:00:02]: Return=    -1.005, Steps=   6, Features = 16
  1874: E[0:00:15]-R[0:00:01]: Return=     0.997, Steps=   4, Features = 16
  1998: E[0:00:16]-R[0:00:00]: Return=     0.997, Steps=   4, Features = 16
  2000: >>> E[0:00:16]-R[0:00:00]: Return=    0.9954, Steps= 5.6, Features = 16
Total Experiment Duration 0:00:16
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.0076, Steps= 8.6, Features = 16
   112: E[0:00:01]-R[0:00:13]: Return=     0.995, Steps=   6, Features = 16
   248: E[0:00:02]-R[0:00:13]: Return=     0.993, Steps=   8, Features = 16
   388: E[0:00:03]-R[0:00:12]: Return=     0.995, Steps=   6, Features = 16
   530: E[0:00:04]-R[0:00:11]: Return=     0.997, Steps=   4, Features = 16
   668: E[0:00:05]-R[0:00:10]: Return=     0.997, Steps=   4, Features = 16
   812: E[0:00:06]-R[0:00:09]: Return=     0.993, Steps=   8, Features = 16
   952: E[0:00:07]-R[0:00:08]: Return=     0.983, Steps=  18, Features = 16
  1092: E[0:00:08]-R[0:00:07]: Return=     0.993, Steps=   8, Features = 16
  1230: E[0:00:09]-R[0:00:06]: Return=     0.995, Steps=   6, Features = 16
  1362: E[0:00:10]-R[0:00:05]: Return=     0.997, Steps=   4, Features = 16
  1494: E[0:00:11]-R[0:00:04]: Return=     0.997, Steps=   4, Features = 16
  1626: E[0:00:12]-R[0:00:03]: Return=     0.995, Steps=   6, Features = 16
  1754: E[0:00:13]-R[0:00:02]: Return=     0.997, Steps=   4, Features = 16
  1888: E[0:00:14]-R[0:00:01]: Return=     0.993, Steps=   8, Features = 16
  2000: >>> E[0:00:15]-R[0:00:00]: Return=    0.9954, Steps= 5.6, Features = 16
Total Experiment Duration 0:00:15
Output:			./Results/Experiment10/
     0: >>> E[0:00:00]-R[?]: Return=   -0.0076, Steps= 8.6, Features = 16
   100: E[0:00:01]-R[0:00:13]: Return=     0.995, Steps=   6, Features = 16
   232: E[0:00:02]-R[0:00:13]: Return=     0.997, Steps=   4, Features = 16
   370: E[0:00:03]-R[0:00:12]: Return=     0.995, Steps=   6, Features = 16
   510: E[0:00:04]-R[0:00:11]: Return=     0.993, Steps=   8, Features = 16
   652: E[0:00:05]-R[0:00:10]: Return=     0.989, Steps=  12, Features = 16
