     0: >>> E[0:00:00]-R[?]: Return=   -0.8642, Steps= 5.2, Features = 16
    46: E[0:00:01]-R[0:01:01]: Return=    -1.021, Steps=  22, Features = 16
   114: E[0:00:02]-R[0:01:07]: Return=    -1.001, Steps=   2, Features = 16
   188: E[0:00:03]-R[0:01:06]: Return=    -1.003, Steps=   4, Features = 16
   286: E[0:00:04]-R[0:01:00]: Return=    -1.011, Steps=  12, Features = 16
   388: E[0:00:05]-R[0:00:56]: Return=    -1.009, Steps=  10, Features = 16
   488: E[0:00:06]-R[0:00:53]: Return=    -1.001, Steps=   2, Features = 16
   500: >>> E[0:00:06]-R[0:00:53]: Return=    0.6713, Steps=9.66, Features = 16
   644: E[0:00:07]-R[0:00:49]: Return=     0.933, Steps=  68, Features = 16
   744: E[0:00:08]-R[0:00:47]: Return=     0.995, Steps=   6, Features = 16
   856: E[0:00:09]-R[0:00:45]: Return=     0.989, Steps=  12, Features = 16
   956: E[0:00:10]-R[0:00:44]: Return=     0.985, Steps=  16, Features = 16
  1000: >>> E[0:00:11]-R[0:00:44]: Return=    0.6326, Steps= 8.4, Features = 16
  1128: E[0:00:12]-R[0:00:42]: Return=     0.969, Steps=  32, Features = 16
  1240: E[0:00:13]-R[0:00:40]: Return=     0.989, Steps=  12, Features = 16
  1356: E[0:00:14]-R[0:00:38]: Return=     0.993, Steps=   8, Features = 16
  1446: E[0:00:15]-R[0:00:38]: Return=     0.991, Steps=  10, Features = 16
  1500: >>> E[0:00:16]-R[0:00:38]: Return=    0.5727, Steps=8.26, Features = 16
  1598: E[0:00:17]-R[0:00:36]: Return=     0.991, Steps=  10, Features = 16
  1708: E[0:00:18]-R[0:00:35]: Return=     0.987, Steps=  14, Features = 16
  1780: E[0:00:19]-R[0:00:35]: Return=    -1.001, Steps=   2, Features = 16
  1858: E[0:00:20]-R[0:00:34]: Return=     0.993, Steps=   8, Features = 16
  1944: E[0:00:21]-R[0:00:34]: Return=     0.991, Steps=  10, Features = 16
  2000: >>> E[0:00:22]-R[0:00:33]: Return=    0.5722, Steps= 8.8, Features = 16
  2088: E[0:00:23]-R[0:00:32]: Return=    -1.005, Steps=   6, Features = 16
  2176: E[0:00:24]-R[0:00:31]: Return=    -1.005, Steps=   6, Features = 16
  2268: E[0:00:25]-R[0:00:30]: Return=     0.985, Steps=  16, Features = 16
  2368: E[0:00:26]-R[0:00:29]: Return=     0.991, Steps=  10, Features = 16
  2462: E[0:00:27]-R[0:00:28]: Return=     0.993, Steps=   8, Features = 16
  2500: >>> E[0:00:28]-R[0:00:28]: Return=    0.5728, Steps= 8.2, Features = 16
  2604: E[0:00:29]-R[0:00:26]: Return=     0.995, Steps=   6, Features = 16
  2702: E[0:00:30]-R[0:00:25]: Return=     0.995, Steps=   6, Features = 16
  2800: E[0:00:31]-R[0:00:24]: Return=     0.993, Steps=   8, Features = 16
  2904: E[0:00:32]-R[0:00:23]: Return=     0.993, Steps=   8, Features = 16
  3000: >>> E[0:00:33]-R[0:00:22]: Return=    0.6127, Steps=8.28, Features = 16
  3094: E[0:00:34]-R[0:00:21]: Return=     0.995, Steps=   6, Features = 16
  3184: E[0:00:35]-R[0:00:20]: Return=     0.995, Steps=   6, Features = 16
  3288: E[0:00:36]-R[0:00:19]: Return=     0.975, Steps=  26, Features = 16
  3394: E[0:00:37]-R[0:00:17]: Return=     0.985, Steps=  16, Features = 16
  3490: E[0:00:38]-R[0:00:16]: Return=     0.995, Steps=   6, Features = 16
  3500: >>> E[0:00:38]-R[0:00:16]: Return=    0.5929, Steps=8.08, Features = 16
  3612: E[0:00:39]-R[0:00:15]: Return=     0.993, Steps=   8, Features = 16
  3726: E[0:00:40]-R[0:00:14]: Return=     0.985, Steps=  16, Features = 16
  3844: E[0:00:41]-R[0:00:12]: Return=     0.993, Steps=   8, Features = 16
  3930: E[0:00:42]-R[0:00:12]: Return=     0.991, Steps=  10, Features = 16
  4000: >>> E[0:00:43]-R[0:00:11]: Return=    0.7133, Steps=7.74, Features = 16
  4112: E[0:00:44]-R[0:00:10]: Return=     0.995, Steps=   6, Features = 16
  4218: E[0:00:45]-R[0:00:08]: Return=    -1.015, Steps=  16, Features = 16
  4312: E[0:00:46]-R[0:00:07]: Return=     0.995, Steps=   6, Features = 16
  4442: E[0:00:48]-R[0:00:06]: Return=     0.949, Steps=  52, Features = 16
  4500: >>> E[0:00:48]-R[0:00:05]: Return=    0.6127, Steps=8.28, Features = 16
  4602: E[0:00:50]-R[0:00:04]: Return=     0.993, Steps=   8, Features = 16
  4690: E[0:00:51]-R[0:00:03]: Return=     0.989, Steps=  12, Features = 16
  4788: E[0:00:52]-R[0:00:02]: Return=     0.995, Steps=   6, Features = 16
  4908: E[0:00:53]-R[0:00:01]: Return=     0.989, Steps=  12, Features = 16
  4994: E[0:00:54]-R[0:00:00]: Return=     0.989, Steps=  12, Features = 16
  5000: >>> E[0:00:54]-R[0:00:00]: Return=    0.5139, Steps=7.14, Features = 16
Total Experiment Duration 0:00:54
Output:			./Results/Experiment4/
     0: >>> E[0:00:00]-R[?]: Return=   -0.8642, Steps= 5.2, Features = 16
    20: E[0:00:00]-R[0:01:39]: Return=    -1.013, Steps=  14, Features = 16
    92: E[0:00:02]-R[0:01:29]: Return=     0.981, Steps=  20, Features = 16
   140: E[0:00:03]-R[0:01:33]: Return=    -1.001, Steps=   2, Features = 16
   214: E[0:00:04]-R[0:01:28]: Return=    -1.025, Steps=  26, Features = 16
   274: E[0:00:05]-R[0:01:26]: Return=    -1.005, Steps=   6, Features = 16
   342: E[0:00:06]-R[0:01:25]: Return=     0.973, Steps=  28, Features = 16
   396: E[0:00:07]-R[0:01:24]: Return=    -1.003, Steps=   4, Features = 16
   468: E[0:00:08]-R[0:01:22]: Return=     0.987, Steps=  14, Features = 16
   500: >>> E[0:00:09]-R[0:01:22]: Return=    0.6713, Steps=9.66, Features = 16
   558: E[0:00:10]-R[0:01:21]: Return=     0.975, Steps=  26, Features = 16
   644: E[0:00:12]-R[0:01:19]: Return=     0.933, Steps=  68, Features = 16
   696: E[0:00:13]-R[0:01:20]: Return=    -1.009, Steps=  10, Features = 16
   752: E[0:00:14]-R[0:01:19]: Return=     0.995, Steps=   6, Features = 16
   810: E[0:00:15]-R[0:01:18]: Return=     0.995, Steps=   6, Features = 16
   878: E[0:00:16]-R[0:01:16]: Return=     0.985, Steps=  16, Features = 16
   932: E[0:00:17]-R[0:01:16]: Return=     0.995, Steps=   6, Features = 16
   988: E[0:00:18]-R[0:01:15]: Return=     0.991, Steps=  10, Features = 16
  1000: >>> E[0:00:19]-R[0:01:15]: Return=    0.6326, Steps= 8.4, Features = 16
  1062: E[0:00:20]-R[0:01:13]: Return=     0.993, Steps=   8, Features = 16
  1128: E[0:00:21]-R[0:01:12]: Return=     0.969, Steps=  32, Features = 16
  1198: E[0:00:22]-R[0:01:10]: Return=     0.987, Steps=  14, Features = 16
  1262: E[0:00:23]-R[0:01:09]: Return=     0.989, Steps=  12, Features = 16
  1314: E[0:00:24]-R[0:01:09]: Return=     0.995, Steps=   6, Features = 16
  1364: E[0:00:26]-R[0:01:08]: Return=     0.993, Steps=   8, Features = 16
  1414: E[0:00:27]-R[0:01:08]: Return=     0.995, Steps=   6, Features = 16
  1474: E[0:00:28]-R[0:01:07]: Return=     0.983, Steps=  18, Features = 16
  1500: >>> E[0:00:28]-R[0:01:06]: Return=    0.5727, Steps=8.26, Features = 16
  1562: E[0:00:30]-R[0:01:05]: Return=     0.975, Steps=  26, Features = 16
  1616: E[0:00:31]-R[0:01:04]: Return=     0.995, Steps=   6, Features = 16
  1672: E[0:00:32]-R[0:01:03]: Return=     0.979, Steps=  22, Features = 16
  1732: E[0:00:33]-R[0:01:02]: Return=     0.989, Steps=  12, Features = 16
  1772: E[0:00:34]-R[0:01:01]: Return=    -1.001, Steps=   2, Features = 16
  1820: E[0:00:35]-R[0:01:01]: Return=     0.995, Steps=   6, Features = 16
  1880: E[0:00:36]-R[0:00:59]: Return=     0.995, Steps=   6, Features = 16
  1934: E[0:00:37]-R[0:00:59]: Return=     0.987, Steps=  14, Features = 16
