     0: >>> E[0:00:00]-R[?]: Return=    0.5737, Steps=7.26, Features = 16
    50: E[0:00:01]-R[0:00:55]: Return=     0.987, Steps=  14, Features = 16
   152: E[0:00:02]-R[0:00:50]: Return=     0.991, Steps=  10, Features = 16
   234: E[0:00:03]-R[0:00:53]: Return=     0.991, Steps=  10, Features = 16
   344: E[0:00:04]-R[0:00:50]: Return=     0.995, Steps=   6, Features = 16
   422: E[0:00:05]-R[0:00:51]: Return=     0.995, Steps=   6, Features = 16
   500: >>> E[0:00:06]-R[0:00:50]: Return=    0.7129, Steps=8.14, Features = 16
   598: E[0:00:07]-R[0:00:49]: Return=     0.993, Steps=   8, Features = 16
   690: E[0:00:08]-R[0:00:48]: Return=    -1.009, Steps=  10, Features = 16
   790: E[0:00:09]-R[0:00:46]: Return=     0.993, Steps=   8, Features = 16
   900: E[0:00:10]-R[0:00:45]: Return=     0.989, Steps=  12, Features = 16
   984: E[0:00:11]-R[0:00:44]: Return=     0.995, Steps=   6, Features = 16
  1000: >>> E[0:00:11]-R[0:00:44]: Return=    0.6138, Steps=7.22, Features = 16
  1086: E[0:00:12]-R[0:00:44]: Return=    -1.001, Steps=   2, Features = 16
  1170: E[0:00:13]-R[0:00:43]: Return=     0.987, Steps=  14, Features = 16
  1260: E[0:00:14]-R[0:00:42]: Return=     0.995, Steps=   6, Features = 16
  1362: E[0:00:15]-R[0:00:41]: Return=     0.993, Steps=   8, Features = 16
  1464: E[0:00:16]-R[0:00:40]: Return=     0.995, Steps=   6, Features = 16
  1500: >>> E[0:00:17]-R[0:00:39]: Return=    0.6535, Steps= 7.5, Features = 16
  1612: E[0:00:18]-R[0:00:37]: Return=     0.985, Steps=  16, Features = 16
  1726: E[0:00:19]-R[0:00:36]: Return=     0.991, Steps=  10, Features = 16
  1832: E[0:00:20]-R[0:00:34]: Return=     0.991, Steps=  10, Features = 16
  1922: E[0:00:21]-R[0:00:34]: Return=     0.993, Steps=   8, Features = 16
  2000: >>> E[0:00:22]-R[0:00:33]: Return=    0.7933, Steps=7.72, Features = 16
  2110: E[0:00:23]-R[0:00:31]: Return=     0.995, Steps=   6, Features = 16
  2194: E[0:00:24]-R[0:00:30]: Return=     0.995, Steps=   6, Features = 16
  2278: E[0:00:25]-R[0:00:30]: Return=     0.991, Steps=  10, Features = 16
  2352: E[0:00:26]-R[0:00:29]: Return=     0.995, Steps=   6, Features = 16
  2450: E[0:00:27]-R[0:00:28]: Return=     0.987, Steps=  14, Features = 16
  2500: >>> E[0:00:28]-R[0:00:28]: Return=    0.6938, Steps=7.22, Features = 16
  2604: E[0:00:29]-R[0:00:26]: Return=     0.993, Steps=   8, Features = 16
  2696: E[0:00:30]-R[0:00:25]: Return=     0.995, Steps=   6, Features = 16
  2796: E[0:00:31]-R[0:00:24]: Return=     0.995, Steps=   6, Features = 16
  2882: E[0:00:32]-R[0:00:23]: Return=     0.989, Steps=  12, Features = 16
  2986: E[0:00:33]-R[0:00:22]: Return=     0.995, Steps=   6, Features = 16
