     0: >>> E[0:00:00]-R[?]: Return=    -0.924, Steps=5.02, Features = 16
    58: E[0:00:01]-R[0:00:56]: Return=    -1.005, Steps=   6, Features = 16
   164: E[0:00:02]-R[0:00:50]: Return=     0.989, Steps=  12, Features = 16
   260: E[0:00:03]-R[0:00:51]: Return=     0.989, Steps=  12, Features = 16
   356: E[0:00:04]-R[0:00:50]: Return=     0.991, Steps=  10, Features = 16
   444: E[0:00:05]-R[0:00:50]: Return=    -1.007, Steps=   8, Features = 16
   500: >>> E[0:00:06]-R[0:00:50]: Return=    0.4344, Steps= 6.6, Features = 16
   582: E[0:00:07]-R[0:00:50]: Return=     0.993, Steps=   8, Features = 16
   678: E[0:00:08]-R[0:00:49]: Return=     0.993, Steps=   8, Features = 16
   778: E[0:00:09]-R[0:00:47]: Return=    -1.005, Steps=   6, Features = 16
   880: E[0:00:10]-R[0:00:45]: Return=     0.993, Steps=   8, Features = 16
   976: E[0:00:11]-R[0:00:44]: Return=    -1.003, Steps=   4, Features = 16
  1000: >>> E[0:00:11]-R[0:00:44]: Return=     0.534, Steps=7.04, Features = 16
  1114: E[0:00:12]-R[0:00:42]: Return=    -1.009, Steps=  10, Features = 16
  1230: E[0:00:13]-R[0:00:40]: Return=     0.985, Steps=  16, Features = 16
  1350: E[0:00:14]-R[0:00:38]: Return=     0.989, Steps=  12, Features = 16
  1462: E[0:00:15]-R[0:00:37]: Return=     0.993, Steps=   8, Features = 16
  1500: >>> E[0:00:16]-R[0:00:37]: Return=    0.6339, Steps=7.12, Features = 16
  1594: E[0:00:17]-R[0:00:36]: Return=     0.991, Steps=  10, Features = 16
  1688: E[0:00:18]-R[0:00:35]: Return=     0.993, Steps=   8, Features = 16
  1792: E[0:00:19]-R[0:00:34]: Return=     0.993, Steps=   8, Features = 16
  1898: E[0:00:20]-R[0:00:33]: Return=     0.991, Steps=  10, Features = 16
  1990: E[0:00:21]-R[0:00:32]: Return=     0.991, Steps=  10, Features = 16
  2000: >>> E[0:00:21]-R[0:00:32]: Return=    0.6334, Steps=7.56, Features = 16
  2102: E[0:00:22]-R[0:00:30]: Return=     0.993, Steps=   8, Features = 16
  2208: E[0:00:23]-R[0:00:29]: Return=     0.991, Steps=  10, Features = 16
  2314: E[0:00:24]-R[0:00:28]: Return=     0.991, Steps=  10, Features = 16
  2406: E[0:00:25]-R[0:00:27]: Return=     0.991, Steps=  10, Features = 16
  2500: E[0:00:26]-R[0:00:26]: Return=     0.995, Steps=   6, Features = 16
  2500: >>> E[0:00:26]-R[0:00:26]: Return=    0.7137, Steps=7.26, Features = 16
  2592: E[0:00:27]-R[0:00:25]: Return=    -1.001, Steps=   2, Features = 16
  2690: E[0:00:28]-R[0:00:24]: Return=     0.991, Steps=  10, Features = 16
  2788: E[0:00:29]-R[0:00:23]: Return=     0.987, Steps=  14, Features = 16
  2880: E[0:00:31]-R[0:00:22]: Return=     0.989, Steps=  12, Features = 16
  2986: E[0:00:32]-R[0:00:21]: Return=     0.991, Steps=  10, Features = 16
  3000: >>> E[0:00:32]-R[0:00:21]: Return=    0.6529, Steps=8.12, Features = 16
  3084: E[0:00:33]-R[0:00:20]: Return=     0.993, Steps=   8, Features = 16
  3182: E[0:00:34]-R[0:00:19]: Return=     0.993, Steps=   8, Features = 16
  3266: E[0:00:35]-R[0:00:18]: Return=    -1.003, Steps=   4, Features = 16
  3352: E[0:00:36]-R[0:00:18]: Return=     0.993, Steps=   8, Features = 16
  3436: E[0:00:37]-R[0:00:17]: Return=     0.995, Steps=   6, Features = 16
  3500: >>> E[0:00:38]-R[0:00:16]: Return=    0.5537, Steps=7.34, Features = 16
  3594: E[0:00:39]-R[0:00:15]: Return=     0.993, Steps=   8, Features = 16
  3688: E[0:00:40]-R[0:00:14]: Return=     0.993, Steps=   8, Features = 16
  3800: E[0:00:41]-R[0:00:13]: Return=     0.993, Steps=   8, Features = 16
  3906: E[0:00:42]-R[0:00:12]: Return=     0.989, Steps=  12, Features = 16
  3996: E[0:00:43]-R[0:00:11]: Return=    -1.001, Steps=   2, Features = 16
  4000: >>> E[0:00:43]-R[0:00:11]: Return=    0.6538, Steps=7.24, Features = 16
  4076: E[0:00:44]-R[0:00:10]: Return=    -1.003, Steps=   4, Features = 16
  4164: E[0:00:45]-R[0:00:09]: Return=    -1.015, Steps=  16, Features = 16
  4248: E[0:00:46]-R[0:00:08]: Return=     0.995, Steps=   6, Features = 16
  4338: E[0:00:47]-R[0:00:07]: Return=     0.987, Steps=  14, Features = 16
  4424: E[0:00:48]-R[0:00:06]: Return=    -1.003, Steps=   4, Features = 16
  4478: E[0:00:49]-R[0:00:06]: Return=     0.983, Steps=  18, Features = 16
  4500: >>> E[0:00:49]-R[0:00:05]: Return=     0.654, Steps=7.04, Features = 16
  4608: E[0:00:51]-R[0:00:04]: Return=     0.981, Steps=  20, Features = 16
  4704: E[0:00:52]-R[0:00:03]: Return=     0.993, Steps=   8, Features = 16
  4798: E[0:00:53]-R[0:00:02]: Return=    -1.005, Steps=   6, Features = 16
  4872: E[0:00:54]-R[0:00:01]: Return=     0.993, Steps=   8, Features = 16
  4942: E[0:00:55]-R[0:00:01]: Return=     0.989, Steps=  12, Features = 16
  5000: >>> E[0:00:55]-R[0:00:00]: Return=    0.6335, Steps=7.54, Features = 16
Total Experiment Duration 0:00:55
Output:			./Results/Experiment4/
     0: >>> E[0:00:00]-R[?]: Return=    -0.924, Steps=5.02, Features = 16
    26: E[0:00:00]-R[0:01:26]: Return=    -1.003, Steps=   4, Features = 16
   100: E[0:00:02]-R[0:01:21]: Return=    -1.021, Steps=  22, Features = 16
   164: E[0:00:03]-R[0:01:25]: Return=     0.989, Steps=  12, Features = 16
   224: E[0:00:04]-R[0:01:25]: Return=    -1.009, Steps=  10, Features = 16
   292: E[0:00:05]-R[0:01:22]: Return=     0.995, Steps=   6, Features = 16
   346: E[0:00:06]-R[0:01:22]: Return=    -1.003, Steps=   4, Features = 16
   404: E[0:00:07]-R[0:01:23]: Return=     0.991, Steps=  10, Features = 16
   464: E[0:00:08]-R[0:01:22]: Return=     0.987, Steps=  14, Features = 16
   500: >>> E[0:00:09]-R[0:01:22]: Return=    0.4344, Steps= 6.6, Features = 16
   560: E[0:00:10]-R[0:01:21]: Return=    -1.003, Steps=   4, Features = 16
   606: E[0:00:11]-R[0:01:22]: Return=     0.989, Steps=  12, Features = 16
   662: E[0:00:12]-R[0:01:21]: Return=     0.991, Steps=  10, Features = 16
   724: E[0:00:13]-R[0:01:19]: Return=     0.991, Steps=  10, Features = 16
   784: E[0:00:15]-R[0:01:18]: Return=    -1.005, Steps=   6, Features = 16
   838: E[0:00:16]-R[0:01:18]: Return=     0.989, Steps=  12, Features = 16
