     0: >>> E[0:00:00]-R[?]: Return=    -0.924, Steps=5.02, Features = 16
    78: E[0:00:01]-R[0:01:26]: Return=    -1.015, Steps=  16, Features = 16
   200: E[0:00:02]-R[0:01:23]: Return=     0.987, Steps=  14, Features = 16
   312: E[0:00:03]-R[0:01:24]: Return=    -1.001, Steps=   2, Features = 16
   412: E[0:00:04]-R[0:01:27]: Return=     0.995, Steps=   6, Features = 16
   522: E[0:00:05]-R[0:01:27]: Return=     0.993, Steps=   8, Features = 16
   622: E[0:00:06]-R[0:01:27]: Return=     0.991, Steps=  10, Features = 16
   728: E[0:00:07]-R[0:01:27]: Return=    -1.001, Steps=   2, Features = 16
   838: E[0:00:08]-R[0:01:26]: Return=     0.995, Steps=   6, Features = 16
     0: >>> E[0:00:00]-R[?]: Return=    -0.924, Steps=5.02, Features = 16
    58: E[0:00:01]-R[0:00:29]: Return=    -1.005, Steps=   6, Features = 16
   164: E[0:00:02]-R[0:00:28]: Return=     0.989, Steps=  12, Features = 16
   276: E[0:00:03]-R[0:00:27]: Return=     0.985, Steps=  16, Features = 16
   300: >>> E[0:00:03]-R[0:00:27]: Return=    0.4143, Steps= 6.7, Features = 16
   414: E[0:00:04]-R[0:00:25]: Return=    -1.003, Steps=   4, Features = 16
   524: E[0:00:05]-R[0:00:24]: Return=     0.991, Steps=  10, Features = 16
   600: >>> E[0:00:06]-R[0:00:23]: Return=   -0.4867, Steps=7.66, Features = 16
   704: E[0:00:07]-R[0:00:22]: Return=     0.985, Steps=  16, Features = 16
   836: E[0:00:08]-R[0:00:21]: Return=     0.987, Steps=  14, Features = 16
   900: >>> E[0:00:09]-R[0:00:20]: Return=    0.5343, Steps=6.66, Features = 16
   990: E[0:00:10]-R[0:00:19]: Return=     0.995, Steps=   6, Features = 16
  1102: E[0:00:11]-R[0:00:19]: Return=    -1.019, Steps=  20, Features = 16
  1200: >>> E[0:00:12]-R[0:00:18]: Return=    0.5335, Steps=7.48, Features = 16
  1316: E[0:00:13]-R[0:00:16]: Return=    -1.003, Steps=   4, Features = 16
  1432: E[0:00:14]-R[0:00:15]: Return=     0.991, Steps=  10, Features = 16
  1500: >>> E[0:00:15]-R[0:00:15]: Return=    0.5144, Steps=6.58, Features = 16
  1600: E[0:00:16]-R[0:00:14]: Return=     0.993, Steps=   8, Features = 16
  1704: E[0:00:17]-R[0:00:13]: Return=     0.991, Steps=  10, Features = 16
  1800: >>> E[0:00:17]-R[0:00:12]: Return=    0.5732, Steps= 7.8, Features = 16
  1908: E[0:00:18]-R[0:00:11]: Return=     0.991, Steps=  10, Features = 16
  2020: E[0:00:20]-R[0:00:09]: Return=     0.991, Steps=  10, Features = 16
  2100: >>> E[0:00:20]-R[0:00:09]: Return=    0.5738, Steps= 7.2, Features = 16
  2210: E[0:00:21]-R[0:00:08]: Return=    -1.005, Steps=   6, Features = 16
  2310: E[0:00:22]-R[0:00:07]: Return=     0.993, Steps=   8, Features = 16
  2400: >>> E[0:00:23]-R[0:00:06]: Return=     0.534, Steps= 7.0, Features = 16
  2512: E[0:00:24]-R[0:00:05]: Return=    -1.001, Steps=   2, Features = 16
  2614: E[0:00:25]-R[0:00:04]: Return=     0.995, Steps=   6, Features = 16
  2700: >>> E[0:00:26]-R[0:00:03]: Return=    0.3942, Steps=6.78, Features = 16
  2810: E[0:00:27]-R[0:00:02]: Return=     0.989, Steps=  12, Features = 16
  2914: E[0:00:28]-R[0:00:01]: Return=     0.991, Steps=  10, Features = 16
  3000: >>> E[0:00:29]-R[0:00:00]: Return=    0.5938, Steps= 7.2, Features = 16
Total Experiment Duration 0:00:29
Output:			./Results/Experiment2/
     0: >>> E[0:00:00]-R[?]: Return=    -0.924, Steps=5.02, Features = 16
    58: E[0:00:01]-R[0:00:29]: Return=    -1.005, Steps=   6, Features = 16
   170: E[0:00:02]-R[0:00:26]: Return=    -1.003, Steps=   4, Features = 16
   276: E[0:00:03]-R[0:00:27]: Return=     0.985, Steps=  16, Features = 16
