     0: >>> E[0:00:00]-R[?]: Return=   -0.8642, Steps= 5.2, Features = 16
    46: E[0:00:01]-R[0:01:16]: Return=    -1.021, Steps=  22, Features = 16
   138: E[0:00:02]-R[0:01:04]: Return=    -1.013, Steps=  14, Features = 16
   232: E[0:00:03]-R[0:00:59]: Return=     0.983, Steps=  18, Features = 16
   314: E[0:00:04]-R[0:00:58]: Return=    -1.013, Steps=  14, Features = 16
   454: E[0:00:05]-R[0:00:53]: Return=     0.957, Steps=  44, Features = 16
   500: >>> E[0:00:06]-R[0:00:52]: Return=    0.6713, Steps=9.66, Features = 16
   644: E[0:00:07]-R[0:00:50]: Return=     0.933, Steps=  68, Features = 16
   738: E[0:00:08]-R[0:00:49]: Return=     0.995, Steps=   6, Features = 16
   838: E[0:00:10]-R[0:00:47]: Return=     0.987, Steps=  14, Features = 16
   924: E[0:00:11]-R[0:00:47]: Return=     0.993, Steps=   8, Features = 16
  1000: >>> E[0:00:11]-R[0:00:46]: Return=    0.6326, Steps= 8.4, Features = 16
  1090: E[0:00:12]-R[0:00:45]: Return=     0.993, Steps=   8, Features = 16
  1176: E[0:00:13]-R[0:00:44]: Return=     0.995, Steps=   6, Features = 16
  1272: E[0:00:15]-R[0:00:43]: Return=     0.991, Steps=  10, Features = 16
  1370: E[0:00:16]-R[0:00:41]: Return=     0.995, Steps=   6, Features = 16
  1474: E[0:00:17]-R[0:00:40]: Return=     0.983, Steps=  18, Features = 16
  1500: >>> E[0:00:17]-R[0:00:40]: Return=    0.5727, Steps=8.26, Features = 16
  1588: E[0:00:18]-R[0:00:39]: Return=     0.995, Steps=   6, Features = 16
  1684: E[0:00:19]-R[0:00:38]: Return=     0.995, Steps=   6, Features = 16
  1784: E[0:00:20]-R[0:00:36]: Return=    -1.003, Steps=   4, Features = 16
  1874: E[0:00:21]-R[0:00:35]: Return=     0.995, Steps=   6, Features = 16
  1958: E[0:00:22]-R[0:00:34]: Return=    -1.001, Steps=   2, Features = 16
  2000: >>> E[0:00:23]-R[0:00:34]: Return=    0.5722, Steps= 8.8, Features = 16
  2100: E[0:00:24]-R[0:00:33]: Return=     0.989, Steps=  12, Features = 16
  2192: E[0:00:25]-R[0:00:32]: Return=     0.985, Steps=  16, Features = 16
  2286: E[0:00:26]-R[0:00:31]: Return=     0.989, Steps=  12, Features = 16
  2380: E[0:00:27]-R[0:00:29]: Return=     0.989, Steps=  12, Features = 16
  2474: E[0:00:28]-R[0:00:28]: Return=     0.995, Steps=   6, Features = 16
  2500: >>> E[0:00:28]-R[0:00:28]: Return=    0.5728, Steps= 8.2, Features = 16
  2596: E[0:00:29]-R[0:00:27]: Return=     0.993, Steps=   8, Features = 16
  2690: E[0:00:30]-R[0:00:26]: Return=    -1.001, Steps=   2, Features = 16
