     0: >>> E[0:00:00]-R[?]: Return=    -0.924, Steps=5.02, Features = 16
    52: E[0:00:01]-R[0:00:57]: Return=    -1.005, Steps=   6, Features = 16
   152: E[0:00:02]-R[0:01:02]: Return=     0.963, Steps=  38, Features = 16
   224: E[0:00:03]-R[0:01:04]: Return=    -1.009, Steps=  10, Features = 16
   306: E[0:00:04]-R[0:01:04]: Return=     0.987, Steps=  14, Features = 16
   394: E[0:00:05]-R[0:01:02]: Return=     0.985, Steps=  16, Features = 16
   480: E[0:00:06]-R[0:01:00]: Return=    -1.009, Steps=  10, Features = 16
   500: >>> E[0:00:07]-R[0:01:00]: Return=    0.4344, Steps= 6.6, Features = 16
   592: E[0:00:08]-R[0:00:57]: Return=     0.995, Steps=   6, Features = 16
   686: E[0:00:09]-R[0:00:55]: Return=     0.993, Steps=   8, Features = 16
   778: E[0:00:10]-R[0:00:53]: Return=    -1.005, Steps=   6, Features = 16
   880: E[0:00:11]-R[0:00:51]: Return=     0.993, Steps=   8, Features = 16
   984: E[0:00:12]-R[0:00:49]: Return=     0.993, Steps=   8, Features = 16
  1000: >>> E[0:00:12]-R[0:00:49]: Return=     0.534, Steps=7.04, Features = 16
  1090: E[0:00:13]-R[0:00:47]: Return=     0.991, Steps=  10, Features = 16
  1174: E[0:00:14]-R[0:00:46]: Return=     0.993, Steps=   8, Features = 16
  1280: E[0:00:15]-R[0:00:44]: Return=     0.993, Steps=   8, Features = 16
  1362: E[0:00:16]-R[0:00:44]: Return=     0.989, Steps=  12, Features = 16
  1444: E[0:00:17]-R[0:00:43]: Return=    -1.001, Steps=   2, Features = 16
  1500: >>> E[0:00:18]-R[0:00:42]: Return=    0.6339, Steps=7.12, Features = 16
  1594: E[0:00:19]-R[0:00:41]: Return=     0.991, Steps=  10, Features = 16
  1696: E[0:00:20]-R[0:00:39]: Return=     0.993, Steps=   8, Features = 16
  1792: E[0:00:21]-R[0:00:38]: Return=     0.993, Steps=   8, Features = 16
  1888: E[0:00:22]-R[0:00:37]: Return=     0.989, Steps=  12, Features = 16
  1970: E[0:00:23]-R[0:00:36]: Return=     0.993, Steps=   8, Features = 16
  2000: >>> E[0:00:24]-R[0:00:36]: Return=    0.6334, Steps=7.56, Features = 16
