     0: >>> E[0:00:00]-R[?]: Return=    0.5737, Steps=7.26, Features = 16
    50: E[0:00:01]-R[0:00:54]: Return=     0.987, Steps=  14, Features = 16
   142: E[0:00:02]-R[0:00:54]: Return=     0.991, Steps=  10, Features = 16
   224: E[0:00:03]-R[0:00:55]: Return=    -1.003, Steps=   4, Features = 16
   316: E[0:00:04]-R[0:00:55]: Return=     0.985, Steps=  16, Features = 16
   416: E[0:00:05]-R[0:00:53]: Return=     0.991, Steps=  10, Features = 16
   500: >>> E[0:00:06]-R[0:00:51]: Return=    0.7129, Steps=8.14, Features = 16
   608: E[0:00:07]-R[0:00:49]: Return=     0.991, Steps=  10, Features = 16
   714: E[0:00:08]-R[0:00:47]: Return=     0.995, Steps=   6, Features = 16
   818: E[0:00:09]-R[0:00:45]: Return=    -1.007, Steps=   8, Features = 16
   918: E[0:00:10]-R[0:00:44]: Return=     0.993, Steps=   8, Features = 16
  1000: >>> E[0:00:11]-R[0:00:42]: Return=    0.6138, Steps=7.22, Features = 16
  1100: E[0:00:12]-R[0:00:41]: Return=    -1.003, Steps=   4, Features = 16
  1188: E[0:00:13]-R[0:00:41]: Return=     0.995, Steps=   6, Features = 16
  1282: E[0:00:14]-R[0:00:40]: Return=     0.987, Steps=  14, Features = 16
  1376: E[0:00:15]-R[0:00:39]: Return=     0.993, Steps=   8, Features = 16
  1494: E[0:00:16]-R[0:00:37]: Return=     0.977, Steps=  24, Features = 16
  1500: >>> E[0:00:16]-R[0:00:37]: Return=    0.6535, Steps= 7.5, Features = 16
  1594: E[0:00:17]-R[0:00:36]: Return=     0.991, Steps=  10, Features = 16
  1690: E[0:00:18]-R[0:00:35]: Return=     0.995, Steps=   6, Features = 16
  1776: E[0:00:19]-R[0:00:35]: Return=     0.995, Steps=   6, Features = 16
  1876: E[0:00:20]-R[0:00:34]: Return=     0.993, Steps=   8, Features = 16
  1964: E[0:00:21]-R[0:00:33]: Return=     0.991, Steps=  10, Features = 16
  2000: >>> E[0:00:22]-R[0:00:32]: Return=    0.7933, Steps=7.72, Features = 16
  2098: E[0:00:23]-R[0:00:31]: Return=     0.989, Steps=  12, Features = 16
  2188: E[0:00:24]-R[0:00:30]: Return=    -1.001, Steps=   2, Features = 16
  2290: E[0:00:25]-R[0:00:29]: Return=     0.995, Steps=   6, Features = 16
  2396: E[0:00:26]-R[0:00:28]: Return=     0.993, Steps=   8, Features = 16
  2494: E[0:00:27]-R[0:00:27]: Return=     0.995, Steps=   6, Features = 16
  2500: >>> E[0:00:27]-R[0:00:27]: Return=    0.6938, Steps=7.22, Features = 16
  2596: E[0:00:28]-R[0:00:26]: Return=     0.993, Steps=   8, Features = 16
  2696: E[0:00:29]-R[0:00:25]: Return=     0.995, Steps=   6, Features = 16
  2784: E[0:00:30]-R[0:00:24]: Return=     0.995, Steps=   6, Features = 16
  2882: E[0:00:31]-R[0:00:23]: Return=     0.989, Steps=  12, Features = 16
  2980: E[0:00:32]-R[0:00:22]: Return=     0.995, Steps=   6, Features = 16
  3000: >>> E[0:00:32]-R[0:00:22]: Return=    0.6333, Steps=7.74, Features = 16
  3092: E[0:00:33]-R[0:00:21]: Return=     0.991, Steps=  10, Features = 16
  3182: E[0:00:35]-R[0:00:20]: Return=    -1.001, Steps=   2, Features = 16
  3290: E[0:00:36]-R[0:00:18]: Return=     0.995, Steps=   6, Features = 16
  3384: E[0:00:37]-R[0:00:17]: Return=    -1.003, Steps=   4, Features = 16
  3498: E[0:00:38]-R[0:00:16]: Return=     0.991, Steps=  10, Features = 16
  3500: >>> E[0:00:38]-R[0:00:16]: Return=    0.6935, Steps=7.52, Features = 16
  3614: E[0:00:39]-R[0:00:15]: Return=     0.995, Steps=   6, Features = 16
  3706: E[0:00:40]-R[0:00:14]: Return=     0.995, Steps=   6, Features = 16
  3812: E[0:00:41]-R[0:00:13]: Return=     0.991, Steps=  10, Features = 16
  3920: E[0:00:42]-R[0:00:12]: Return=    -1.005, Steps=   6, Features = 16
  4000: >>> E[0:00:43]-R[0:00:11]: Return=    0.6737, Steps=7.28, Features = 16
  4090: E[0:00:44]-R[0:00:10]: Return=     0.993, Steps=   8, Features = 16
  4180: E[0:00:45]-R[0:00:09]: Return=     0.991, Steps=  10, Features = 16
  4264: E[0:00:46]-R[0:00:08]: Return=     0.983, Steps=  18, Features = 16
  4354: E[0:00:47]-R[0:00:07]: Return=     0.991, Steps=  10, Features = 16
  4442: E[0:00:48]-R[0:00:06]: Return=     0.995, Steps=   6, Features = 16
  4500: >>> E[0:00:49]-R[0:00:05]: Return=    0.5934, Steps=7.62, Features = 16
  4584: E[0:00:50]-R[0:00:05]: Return=     0.993, Steps=   8, Features = 16
  4682: E[0:00:51]-R[0:00:03]: Return=     0.993, Steps=   8, Features = 16
  4778: E[0:00:52]-R[0:00:02]: Return=     0.987, Steps=  14, Features = 16
  4864: E[0:00:53]-R[0:00:01]: Return=     0.995, Steps=   6, Features = 16
  4964: E[0:00:54]-R[0:00:00]: Return=    -1.001, Steps=   2, Features = 16
  5000: >>> E[0:00:54]-R[0:00:00]: Return=    0.6733, Steps= 7.7, Features = 16
Total Experiment Duration 0:00:54
Output:			./Results/Experiment4/
     0: >>> E[0:00:00]-R[?]: Return=    0.5737, Steps=7.26, Features = 16
    76: E[0:00:01]-R[0:00:43]: Return=     0.989, Steps=  12, Features = 16
   188: E[0:00:02]-R[0:00:43]: Return=    -1.001, Steps=   2, Features = 16
   298: E[0:00:03]-R[0:00:42]: Return=     0.991, Steps=  10, Features = 16
   406: E[0:00:04]-R[0:00:42]: Return=     0.991, Steps=  10, Features = 16
   500: E[0:00:05]-R[0:00:43]: Return=     0.995, Steps=   6, Features = 16
   500: >>> E[0:00:05]-R[0:00:43]: Return=    0.7129, Steps=8.14, Features = 16
   620: E[0:00:06]-R[0:00:41]: Return=     0.989, Steps=  12, Features = 16
   718: E[0:00:07]-R[0:00:41]: Return=    -1.003, Steps=   4, Features = 16
   824: E[0:00:08]-R[0:00:40]: Return=    -1.005, Steps=   6, Features = 16
   946: E[0:00:09]-R[0:00:38]: Return=     0.995, Steps=   6, Features = 16
  1000: >>> E[0:00:10]-R[0:00:38]: Return=    0.6138, Steps=7.22, Features = 16
  1112: E[0:00:11]-R[0:00:37]: Return=     0.989, Steps=  12, Features = 16
  1222: E[0:00:12]-R[0:00:36]: Return=     0.987, Steps=  14, Features = 16
  1340: E[0:00:13]-R[0:00:35]: Return=     0.989, Steps=  12, Features = 16
  1448: E[0:00:14]-R[0:00:34]: Return=     0.991, Steps=  10, Features = 16
  1500: >>> E[0:00:14]-R[0:00:33]: Return=    0.6535, Steps= 7.5, Features = 16
  1612: E[0:00:15]-R[0:00:32]: Return=     0.985, Steps=  16, Features = 16
  1716: E[0:00:16]-R[0:00:31]: Return=     0.995, Steps=   6, Features = 16
  1832: E[0:00:17]-R[0:00:30]: Return=     0.991, Steps=  10, Features = 16
  1950: E[0:00:18]-R[0:00:29]: Return=     0.987, Steps=  14, Features = 16
  2000: >>> E[0:00:19]-R[0:00:28]: Return=    0.7933, Steps=7.72, Features = 16
  2104: E[0:00:20]-R[0:00:27]: Return=    -1.005, Steps=   6, Features = 16
  2212: E[0:00:21]-R[0:00:26]: Return=     0.991, Steps=  10, Features = 16
  2310: E[0:00:22]-R[0:00:26]: Return=     0.993, Steps=   8, Features = 16
  2422: E[0:00:23]-R[0:00:25]: Return=     0.985, Steps=  16, Features = 16
  2500: >>> E[0:00:24]-R[0:00:24]: Return=    0.6938, Steps=7.22, Features = 16
  2604: E[0:00:25]-R[0:00:23]: Return=     0.993, Steps=   8, Features = 16
  2704: E[0:00:26]-R[0:00:22]: Return=    -1.001, Steps=   2, Features = 16
  2812: E[0:00:27]-R[0:00:21]: Return=     0.985, Steps=  16, Features = 16
  2910: E[0:00:28]-R[0:00:20]: Return=     0.995, Steps=   6, Features = 16
  3000: >>> E[0:00:29]-R[0:00:19]: Return=    0.6333, Steps=7.74, Features = 16
  3116: E[0:00:30]-R[0:00:18]: Return=     0.993, Steps=   8, Features = 16
  3228: E[0:00:31]-R[0:00:17]: Return=     0.991, Steps=  10, Features = 16
  3336: E[0:00:32]-R[0:00:16]: Return=     0.995, Steps=   6, Features = 16
  3436: E[0:00:33]-R[0:00:15]: Return=     0.991, Steps=  10, Features = 16
  3500: >>> E[0:00:34]-R[0:00:14]: Return=    0.6935, Steps=7.52, Features = 16
  3606: E[0:00:35]-R[0:00:13]: Return=     0.989, Steps=  12, Features = 16
  3706: E[0:00:36]-R[0:00:13]: Return=     0.995, Steps=   6, Features = 16
  3798: E[0:00:37]-R[0:00:12]: Return=     0.995, Steps=   6, Features = 16
  3854: E[0:00:38]-R[0:00:11]: Return=     0.991, Steps=  10, Features = 16
  3904: E[0:00:39]-R[0:00:11]: Return=     0.993, Steps=   8, Features = 16
  3962: E[0:00:40]-R[0:00:10]: Return=     0.991, Steps=  10, Features = 16
  4000: >>> E[0:00:41]-R[0:00:10]: Return=    0.6737, Steps=7.28, Features = 16
  4062: E[0:00:42]-R[0:00:10]: Return=     0.981, Steps=  20, Features = 16
  4112: E[0:00:43]-R[0:00:09]: Return=    -1.005, Steps=   6, Features = 16
  4170: E[0:00:44]-R[0:00:09]: Return=     0.993, Steps=   8, Features = 16
  4232: E[0:00:45]-R[0:00:08]: Return=     0.985, Steps=  16, Features = 16
  4278: E[0:00:46]-R[0:00:08]: Return=     0.995, Steps=   6, Features = 16
  4332: E[0:00:47]-R[0:00:07]: Return=     0.993, Steps=   8, Features = 16
  4396: E[0:00:48]-R[0:00:07]: Return=     0.993, Steps=   8, Features = 16
  4456: E[0:00:49]-R[0:00:06]: Return=     0.993, Steps=   8, Features = 16
  4500: >>> E[0:00:50]-R[0:00:06]: Return=    0.5934, Steps=7.62, Features = 16
  4558: E[0:00:51]-R[0:00:05]: Return=     0.987, Steps=  14, Features = 16
  4612: E[0:00:52]-R[0:00:04]: Return=    -1.001, Steps=   2, Features = 16
  4666: E[0:00:53]-R[0:00:04]: Return=     0.991, Steps=  10, Features = 16
  4724: E[0:00:54]-R[0:00:03]: Return=     0.991, Steps=  10, Features = 16
  4778: E[0:00:55]-R[0:00:03]: Return=     0.987, Steps=  14, Features = 16
  4840: E[0:00:57]-R[0:00:02]: Return=     0.989, Steps=  12, Features = 16
  4902: E[0:00:58]-R[0:00:01]: Return=     0.995, Steps=   6, Features = 16
  4950: E[0:00:59]-R[0:00:01]: Return=    -1.013, Steps=  14, Features = 16
  5000: >>> E[0:01:00]-R[0:00:00]: Return=    0.6733, Steps= 7.7, Features = 16
Total Experiment Duration 0:01:00
Output:			./Results/Experiment4/
     0: >>> E[0:00:00]-R[?]: Return=   -0.7152, Steps=76.15, Features = 36
    75: E[0:00:01]-R[0:01:05]: Return=    -1.074, Steps=  75, Features = 36
   181: E[0:00:02]-R[0:01:03]: Return=    -1.069, Steps=  70, Features = 36
   291: E[0:00:04]-R[0:01:02]: Return=     0.919, Steps=  82, Features = 36
   388: E[0:00:05]-R[0:01:01]: Return=    -1.096, Steps=  97, Features = 36
   500: >>> E[0:00:07]-R[0:01:01]: Return=   0.00603, Steps=94.97, Features = 36
   631: E[0:00:09]-R[0:00:59]: Return=     0.875, Steps= 126, Features = 36
   745: E[0:00:10]-R[0:00:58]: Return=    -1.113, Steps= 114, Features = 36
   823: E[0:00:11]-R[0:00:57]: Return=     0.963, Steps=  38, Features = 36
   913: E[0:00:12]-R[0:00:56]: Return=     0.911, Steps=  90, Features = 36
  1000: >>> E[0:00:14]-R[0:00:55]: Return=    0.3565, Steps=124.53, Features = 36
  1108: E[0:00:16]-R[0:00:55]: Return=    -1.076, Steps=  77, Features = 36
  1222: E[0:00:17]-R[0:00:53]: Return=     0.887, Steps= 114, Features = 36
  1350: E[0:00:20]-R[0:00:54]: Return=     0.873, Steps= 128, Features = 36
  1428: E[0:00:23]-R[0:00:56]: Return=     0.923, Steps=  78, Features = 36
  1496: E[0:00:25]-R[0:00:58]: Return=     0.959, Steps=  42, Features = 36
  1500: >>> E[0:00:25]-R[0:00:58]: Return=    0.6565, Steps=104.46, Features = 36
  1604: E[0:00:26]-R[0:00:55]: Return=    -1.107, Steps= 108, Features = 36
  1774: E[0:00:29]-R[0:00:52]: Return=     0.887, Steps= 114, Features = 36
  1864: E[0:00:30]-R[0:00:50]: Return=     0.951, Steps=  50, Features = 36
  2000: >>> E[0:00:32]-R[0:00:48]: Return=   -0.1259, Steps=246.88, Features = 36
  2120: E[0:00:33]-R[0:00:45]: Return=     0.745, Steps= 256, Features = 36
  2230: E[0:00:35]-R[0:00:43]: Return=    -1.109, Steps= 110, Features = 36
  2500: >>> E[0:00:39]-R[0:00:39]: Return=    -0.227, Steps=307.94, Features = 36
  2686: E[0:00:42]-R[0:00:37]: Return=    -1.415, Steps= 416, Features = 36
  2866: E[0:00:46]-R[0:00:34]: Return=    -1.145, Steps= 146, Features = 36
  2980: E[0:00:47]-R[0:00:32]: Return=    -1.113, Steps= 114, Features = 36
  3000: >>> E[0:00:48]-R[0:00:32]: Return=   -0.2075, Steps=328.48, Features = 36
  3124: E[0:00:50]-R[0:00:30]: Return=     0.857, Steps= 144, Features = 36
  3316: E[0:00:53]-R[0:00:27]: Return=    -1.159, Steps= 160, Features = 36
  3452: E[0:00:55]-R[0:00:24]: Return=     0.865, Steps= 136, Features = 36
  3500: >>> E[0:00:55]-R[0:00:24]: Return=   -0.1904, Steps=281.33, Features = 36
  3680: E[0:00:58]-R[0:00:21]: Return=    -1.199, Steps= 200, Features = 36
  3764: E[0:00:59]-R[0:00:19]: Return=     0.957, Steps=  44, Features = 36
  4000: >>> E[0:01:02]-R[0:00:16]: Return=   -0.2316, Steps=282.52, Features = 36
  4240: E[0:01:08]-R[0:00:12]: Return=     0.767, Steps= 234, Features = 36
  4451: E[0:01:11]-R[0:00:09]: Return=     0.795, Steps= 206, Features = 36
  4500: >>> E[0:01:11]-R[0:00:08]: Return=   -0.1587, Steps=299.58, Features = 36
  4621: E[0:01:13]-R[0:00:06]: Return=    -1.169, Steps= 170, Features = 36
  4709: E[0:01:14]-R[0:00:05]: Return=    -1.055, Steps=  56, Features = 36
  4896: E[0:01:17]-R[0:00:02]: Return=    -1.112, Steps= 113, Features = 36
  5000: >>> E[0:01:18]-R[0:00:00]: Return=     0.252, Steps=148.99, Features = 36
Total Experiment Duration 0:01:18
Output:			./Results/Experiment4/
