     0: >>> E[0:00:00]-R[?]: Return=   -0.8642, Steps= 5.2, Features = 16
    62: E[0:00:01]-R[0:01:34]: Return=    -1.015, Steps=  16, Features = 16
   140: E[0:00:02]-R[0:01:52]: Return=    -1.001, Steps=   2, Features = 16
   238: E[0:00:03]-R[0:01:47]: Return=    -1.005, Steps=   6, Features = 16
   344: E[0:00:04]-R[0:01:42]: Return=    -1.001, Steps=   2, Features = 16
   454: E[0:00:05]-R[0:01:41]: Return=     0.957, Steps=  44, Features = 16
   548: E[0:00:06]-R[0:01:41]: Return=     0.985, Steps=  16, Features = 16
   642: E[0:00:07]-R[0:01:44]: Return=     0.957, Steps=  44, Features = 16
   730: E[0:00:08]-R[0:01:44]: Return=     0.993, Steps=   8, Features = 16
   810: E[0:00:09]-R[0:01:46]: Return=     0.989, Steps=  12, Features = 16
   886: E[0:00:10]-R[0:01:46]: Return=     0.991, Steps=  10, Features = 16
   970: E[0:00:11]-R[0:01:46]: Return=     0.989, Steps=  12, Features = 16
  1000: >>> E[0:00:12]-R[0:01:46]: Return=    0.6513, Steps=9.66, Features = 16
  1118: E[0:00:13]-R[0:01:43]: Return=    -1.025, Steps=  26, Features = 16
  1214: E[0:00:14]-R[0:01:42]: Return=     0.993, Steps=   8, Features = 16
  1290: E[0:00:15]-R[0:01:42]: Return=     0.993, Steps=   8, Features = 16
  1376: E[0:00:16]-R[0:01:41]: Return=     0.995, Steps=   6, Features = 16
  1456: E[0:00:17]-R[0:01:41]: Return=     0.991, Steps=  10, Features = 16
  1562: E[0:00:18]-R[0:01:39]: Return=     0.981, Steps=  20, Features = 16
  1668: E[0:00:19]-R[0:01:36]: Return=     0.971, Steps=  30, Features = 16
  1766: E[0:00:20]-R[0:01:35]: Return=     0.991, Steps=  10, Features = 16
  1870: E[0:00:21]-R[0:01:33]: Return=     0.993, Steps=   8, Features = 16
  1956: E[0:00:22]-R[0:01:32]: Return=     0.991, Steps=  10, Features = 16
  2000: >>> E[0:00:23]-R[0:01:32]: Return=    0.5922, Steps=8.76, Features = 16
  2100: E[0:00:24]-R[0:01:31]: Return=     0.993, Steps=   8, Features = 16
  2168: E[0:00:25]-R[0:01:31]: Return=     0.995, Steps=   6, Features = 16
  2252: E[0:00:26]-R[0:01:30]: Return=     0.989, Steps=  12, Features = 16
  2364: E[0:00:27]-R[0:01:29]: Return=     0.983, Steps=  18, Features = 16
  2450: E[0:00:28]-R[0:01:28]: Return=     0.985, Steps=  16, Features = 16
