     0: >>> E[0:00:00]-R[?]: Return=    0.5737, Steps=7.26, Features = 16
    64: E[0:00:01]-R[0:01:36]: Return=     0.987, Steps=  14, Features = 16
   170: E[0:00:02]-R[0:01:37]: Return=     0.991, Steps=  10, Features = 16
   288: E[0:00:03]-R[0:01:32]: Return=     0.989, Steps=  12, Features = 16
   406: E[0:00:04]-R[0:01:29]: Return=     0.991, Steps=  10, Features = 16
   510: E[0:00:05]-R[0:01:30]: Return=     0.991, Steps=  10, Features = 16
   610: E[0:00:06]-R[0:01:31]: Return=    -1.011, Steps=  12, Features = 16
   706: E[0:00:07]-R[0:01:31]: Return=     0.993, Steps=   8, Features = 16
   806: E[0:00:08]-R[0:01:31]: Return=     0.995, Steps=   6, Features = 16
   906: E[0:00:09]-R[0:01:31]: Return=     0.995, Steps=   6, Features = 16
   998: E[0:00:10]-R[0:01:31]: Return=    -1.007, Steps=   8, Features = 16
  1000: >>> E[0:00:10]-R[0:01:31]: Return=    0.7129, Steps=8.14, Features = 16
  1078: E[0:00:11]-R[0:01:32]: Return=     0.991, Steps=  10, Features = 16
  1152: E[0:00:12]-R[0:01:33]: Return=     0.991, Steps=  10, Features = 16
  1240: E[0:00:13]-R[0:01:33]: Return=     0.995, Steps=   6, Features = 16
  1332: E[0:00:14]-R[0:01:33]: Return=     0.989, Steps=  12, Features = 16
  1418: E[0:00:15]-R[0:01:33]: Return=     0.989, Steps=  12, Features = 16
  1516: E[0:00:16]-R[0:01:32]: Return=    -1.001, Steps=   2, Features = 16
  1614: E[0:00:17]-R[0:01:31]: Return=     0.993, Steps=   8, Features = 16
  1716: E[0:00:18]-R[0:01:29]: Return=     0.993, Steps=   8, Features = 16
  1806: E[0:00:20]-R[0:01:29]: Return=     0.989, Steps=  12, Features = 16
  1884: E[0:00:21]-R[0:01:29]: Return=     0.993, Steps=   8, Features = 16
  1970: E[0:00:22]-R[0:01:29]: Return=     0.995, Steps=   6, Features = 16
  2000: >>> E[0:00:22]-R[0:01:28]: Return=    0.6138, Steps=7.22, Features = 16
  2092: E[0:00:23]-R[0:01:27]: Return=     0.989, Steps=  12, Features = 16
  2190: E[0:00:24]-R[0:01:26]: Return=     0.989, Steps=  12, Features = 16
  2270: E[0:00:25]-R[0:01:26]: Return=     0.993, Steps=   8, Features = 16
  2348: E[0:00:26]-R[0:01:25]: Return=     0.995, Steps=   6, Features = 16
  2430: E[0:00:27]-R[0:01:25]: Return=     0.995, Steps=   6, Features = 16
  2524: E[0:00:28]-R[0:01:24]: Return=     0.991, Steps=  10, Features = 16
  2590: E[0:00:29]-R[0:01:24]: Return=     0.993, Steps=   8, Features = 16
  2688: E[0:00:30]-R[0:01:23]: Return=     0.993, Steps=   8, Features = 16
  2782: E[0:00:31]-R[0:01:22]: Return=     0.991, Steps=  10, Features = 16
  2874: E[0:00:32]-R[0:01:20]: Return=     0.989, Steps=  12, Features = 16
  2970: E[0:00:34]-R[0:01:19]: Return=     0.991, Steps=  10, Features = 16
