     0: >>> E[0:00:00]-R[?]: Return=    -1.004, Steps=5.11, Features = 20
    57: E[0:00:01]-R[0:00:10]: Return=    -1.006, Steps=   7, Features = 20
   100: >>> E[0:00:01]-R[0:00:09]: Return=    -1.016, Steps=16.88, Features = 20
   200: >>> E[0:00:02]-R[0:00:08]: Return=   -0.9732, Steps=14.22, Features = 20
   300: >>> E[0:00:03]-R[0:00:07]: Return=   -0.9965, Steps=17.45, Features = 20
   400: >>> E[0:00:04]-R[0:00:06]: Return=   -0.7545, Steps=15.54, Features = 20
   500: >>> E[0:00:05]-R[0:00:05]: Return=     -0.71, Steps=10.95, Features = 20
   600: >>> E[0:00:06]-R[0:00:04]: Return=     0.273, Steps=7.96, Features = 20
   700: >>> E[0:00:07]-R[0:00:03]: Return=    0.3525, Steps=8.53, Features = 20
   800: >>> E[0:00:07]-R[0:00:02]: Return=    0.2336, Steps=7.35, Features = 20
   900: >>> E[0:00:08]-R[0:00:01]: Return=   -0.4722, Steps=13.23, Features = 20
  1000: >>> E[0:00:09]-R[0:00:00]: Return=   -0.4126, Steps=13.6, Features = 20
Total Experiment Duration 0:00:09
     0: >>> E[0:00:00]-R[?]: Return=    -1.014, Steps=15.45, Features = 20
    47: E[0:00:00]-R[0:00:09]: Return=    -1.026, Steps=  27, Features = 20
   100: >>> E[0:00:01]-R[0:00:09]: Return=    0.3727, Steps= 8.3, Features = 20
   200: >>> E[0:00:02]-R[0:00:07]: Return=    0.4328, Steps=8.23, Features = 20
   300: >>> E[0:00:03]-R[0:00:07]: Return=    0.4922, Steps=8.79, Features = 20
   400: >>> E[0:00:04]-R[0:00:06]: Return=    0.5127, Steps=8.32, Features = 20
   500: >>> E[0:00:05]-R[0:00:05]: Return=    0.4329, Steps=8.14, Features = 20
   600: >>> E[0:00:06]-R[0:00:04]: Return=    0.3535, Steps=7.47, Features = 20
   700: >>> E[0:00:07]-R[0:00:03]: Return=    0.4328, Steps=8.24, Features = 20
   800: >>> E[0:00:08]-R[0:00:02]: Return=    0.5315, Steps=9.48, Features = 20
   900: >>> E[0:00:09]-R[0:00:01]: Return=    0.5724, Steps=8.63, Features = 20
  1000: >>> E[0:00:09]-R[0:00:00]: Return=     0.453, Steps=7.99, Features = 20
Total Experiment Duration 0:00:09
     0: >>> E[0:00:00]-R[?]: Return=    -1.015, Steps=15.51, Features = 16
    50: E[0:00:00]-R[0:00:08]: Return=    -1.025, Steps=  26, Features = 16
   100: >>> E[0:00:01]-R[0:00:08]: Return=    -1.018, Steps=18.82, Features = 16
   200: >>> E[0:00:02]-R[0:00:07]: Return=     -1.01, Steps=11.16, Features = 16
   300: >>> E[0:00:03]-R[0:00:06]: Return=    -1.019, Steps=19.65, Features = 16
   400: >>> E[0:00:03]-R[0:00:05]: Return=     -1.01, Steps=10.53, Features = 16
   500: >>> E[0:00:04]-R[0:00:04]: Return=    -1.016, Steps=17.42, Features = 16
   600: >>> E[0:00:05]-R[0:00:03]: Return=    -1.013, Steps=14.26, Features = 16
   700: >>> E[0:00:06]-R[0:00:02]: Return=    -1.017, Steps=18.4, Features = 16
   800: >>> E[0:00:06]-R[0:00:02]: Return=    -1.016, Steps=16.54, Features = 16
   900: >>> E[0:00:07]-R[0:00:01]: Return=    -1.015, Steps=15.57, Features = 16
  1000: >>> E[0:00:08]-R[0:00:00]: Return=    -1.016, Steps=16.91, Features = 16
Total Experiment Duration 0:00:08
Output:			./Results/Experiment1/
     0: >>> E[0:00:00]-R[?]: Return=        -1, Steps= 1.0, Features = 16
    48: E[0:00:01]-R[0:00:15]: Return=        -1, Steps=   1, Features = 16
   100: >>> E[0:00:01]-R[0:00:13]: Return=        -1, Steps= 1.0, Features = 16
   176: E[0:00:02]-R[0:00:12]: Return=        -1, Steps=   1, Features = 16
   200: >>> E[0:00:03]-R[0:00:11]: Return=        -1, Steps= 1.0, Features = 16
   267: E[0:00:04]-R[0:00:10]: Return=        -1, Steps=   1, Features = 16
   300: >>> E[0:00:04]-R[0:00:10]: Return=        -1, Steps= 1.0, Features = 16
   361: E[0:00:05]-R[0:00:09]: Return=        -1, Steps=   1, Features = 16
   400: >>> E[0:00:06]-R[0:00:09]: Return=        -1, Steps= 1.0, Features = 16
   463: E[0:00:07]-R[0:00:08]: Return=        -1, Steps=   1, Features = 16
   500: >>> E[0:00:08]-R[0:00:08]: Return=        -1, Steps= 1.0, Features = 16
     0: >>> E[0:00:00]-R[?]: Return=    0.7525, Steps= 8.5, Features = 16
    50: E[0:00:01]-R[0:00:10]: Return=    -1.001, Steps=   2, Features = 16
   100: >>> E[0:00:01]-R[0:00:09]: Return=     0.653, Steps=7.98, Features = 16
   200: >>> E[0:00:02]-R[0:00:07]: Return=    0.6339, Steps=7.08, Features = 16
   300: >>> E[0:00:03]-R[0:00:06]: Return=    0.5935, Steps=7.54, Features = 16
   400: >>> E[0:00:04]-R[0:00:06]: Return=    0.8131, Steps=7.86, Features = 16
   500: >>> E[0:00:05]-R[0:00:05]: Return=    0.7137, Steps=7.28, Features = 16
   600: >>> E[0:00:05]-R[0:00:04]: Return=    0.6533, Steps=7.68, Features = 16
   700: >>> E[0:00:06]-R[0:00:03]: Return=    0.7134, Steps=7.56, Features = 16
   800: >>> E[0:00:07]-R[0:00:02]: Return=    0.6141, Steps= 6.9, Features = 16
   900: >>> E[0:00:08]-R[0:00:01]: Return=    0.5734, Steps=7.62, Features = 16
  1000: >>> E[0:00:09]-R[0:00:00]: Return=    0.7333, Steps=7.74, Features = 16
Total Experiment Duration 0:00:09
Output:			./Results/Experiment1/
     0: >>> E[0:00:00]-R[?]: Return=    0.7525, Steps= 8.5, Features = 16
    50: E[0:00:01]-R[0:00:10]: Return=    -1.001, Steps=   2, Features = 16
   100: >>> E[0:00:01]-R[0:00:09]: Return=     0.653, Steps=7.98, Features = 16
